Table S4,GWAS sources for traits used in real-data negative control studies from Pan-UKBB,,,,,,,
,,,,,,,,
column description:,,,,,,,,
n_population: sample size in the corresponding population,,,,,,,,
,,,,,,,,
35 exposure traits,,,,,,,,
trait_type,phenocode,pheno_sex,trait description,category,n_EUR,n_AFR,n_CSA,wget
biomarkers,30600,both_sexes,Albumin,Biological samples > Assay results > Blood assays > Blood biochemistry,367192,5759,7694,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz
biomarkers,30870,both_sexes,Triglycerides,Biological samples > Assay results > Blood assays > Blood biochemistry,400639,6211,8415,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30870-both_sexes-irnt.tsv.bgz
biomarkers,30890,both_sexes,Vitamin D,Biological samples > Assay results > Blood assays > Blood biochemistry,383324,6046,7380,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30890-both_sexes-irnt.tsv.bgz
continuous,20015,both_sexes,Sitting height,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,419233,6554,8649,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20015-both_sexes-irnt.tsv.bgz
continuous,21002,both_sexes,Weight,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,419316,6558,8771,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-21002-both_sexes-irnt.tsv.bgz
continuous,23098,both_sexes,Weight,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413194,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23098-both_sexes-irnt.tsv.bgz
continuous,23099,both_sexes,Body fat percentage,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,412960,6455,8654,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23099-both_sexes-irnt.tsv.bgz
continuous,23100,both_sexes,Whole body fat mass,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,412524,6450,8645,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23100-both_sexes-irnt.tsv.bgz
continuous,23101,both_sexes,Whole body fat-free mass,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413158,6456,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23101-both_sexes-irnt.tsv.bgz
continuous,23102,both_sexes,Whole body water mass,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413190,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23102-both_sexes-irnt.tsv.bgz
continuous,23105,both_sexes,Basal metabolic rate,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413178,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23105-both_sexes-irnt.tsv.bgz
continuous,23106,both_sexes,Impedance of whole body,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413153,6458,8654,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23106-both_sexes-irnt.tsv.bgz
continuous,23109,both_sexes,Impedance of arm (right),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413141,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23109-both_sexes-irnt.tsv.bgz
continuous,23110,both_sexes,Impedance of arm (left),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413157,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23110-both_sexes-irnt.tsv.bgz
continuous,23113,both_sexes,Leg fat-free mass (right),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413147,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23113-both_sexes-irnt.tsv.bgz
continuous,23114,both_sexes,Leg predicted mass (right),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413146,6458,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23114-both_sexes-irnt.tsv.bgz
continuous,23117,both_sexes,Leg fat-free mass (left),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413118,6455,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23117-both_sexes-irnt.tsv.bgz
continuous,23118,both_sexes,Leg predicted mass (left),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413113,6455,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23118-both_sexes-irnt.tsv.bgz
continuous,23119,both_sexes,Arm fat percentage (right),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413107,6454,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23119-both_sexes-irnt.tsv.bgz
continuous,23120,both_sexes,Arm fat mass (right),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413080,6454,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23120-both_sexes-irnt.tsv.bgz
continuous,23121,both_sexes,Arm fat-free mass (right),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413074,6454,8658,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23121-both_sexes-irnt.tsv.bgz
continuous,23122,both_sexes,Arm predicted mass (right),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413067,6454,8657,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23122-both_sexes-irnt.tsv.bgz
continuous,23123,both_sexes,Arm fat percentage (left),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413046,6454,8657,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23123-both_sexes-irnt.tsv.bgz
continuous,23124,both_sexes,Arm fat mass (left),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,413007,6454,8656,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23124-both_sexes-irnt.tsv.bgz
continuous,23125,both_sexes,Arm fat-free mass (left),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,412998,6453,8655,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23125-both_sexes-irnt.tsv.bgz
continuous,23126,both_sexes,Arm predicted mass (left),UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,412983,6453,8654,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23126-both_sexes-irnt.tsv.bgz
continuous,23129,both_sexes,Trunk fat-free mass,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,412844,6451,8652,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23129-both_sexes-irnt.tsv.bgz
continuous,23130,both_sexes,Trunk predicted mass,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,412802,6451,8649,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23130-both_sexes-irnt.tsv.bgz
continuous,30100,both_sexes,Mean platelet (thrombocyte) volume,Biological samples > Assay results > Blood assays > Blood count,407987,6281,8532,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30100-both_sexes-irnt.tsv.bgz
continuous,30300,both_sexes,High light scatter reticulocyte count,Biological samples > Assay results > Blood assays > Blood count,401345,6108,8315,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-30300-both_sexes-irnt.tsv.bgz
continuous,3062,both_sexes,Forced vital capacity (FVC),UK Biobank Assessment Centre > Physical measures > Spirometry,383471,5978,8080,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3062-both_sexes-irnt.tsv.bgz
continuous,3063,both_sexes,Forced expiratory volume in 1-second (FEV1),UK Biobank Assessment Centre > Physical measures > Spirometry,383471,5978,8080,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3063-both_sexes-irnt.tsv.bgz
continuous,3064,both_sexes,Peak expiratory flow (PEF),UK Biobank Assessment Centre > Physical measures > Spirometry,383471,5978,8080,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3064-both_sexes-irnt.tsv.bgz
continuous,50,both_sexes,Standing height,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,419596,6556,8657,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-50-both_sexes-irnt.tsv.bgz
continuous,51,both_sexes,Seated height,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,419245,6554,8649,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-51-both_sexes-irnt.tsv.bgz
,,,,,,,,
2 outcome traits,,,,,,,,
categorical,1747_5,both_sexes,Hair colour (natural,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,419469,6543,8670,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-5.tsv.bgz
continuous,1727,both_sexes,Ease of skin tanning,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure,411779,4689,7502,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-1727-both_sexes.tsv.bgz